source,workload_id,workload,compiler_tag,iteration,opt_level_numeric,has_fastmath,has_vectorize,has_unroll,has_debug_friendly,has_lto,input_class,input_command,input_args,input_files,input_total_bytes,l1_size,l2_size,l3_size,l3_associativity,l3_replacement,branch_predictor,prefetcher_type,dram_type,core_frequency_ghz,simulator_rev,core_model,n_pb_files,pb_total_bytes,n_events,total_reads,total_writes,total_hits,total_misses,n_threads,cell_start_us,cell_end_us,execution_time_us,execution_time_s,read_freq,write_freq,hit_rate,wss_lines_total,wss_bytes_total,coarse_bin_us,n_coarse_bins,n_unique_regions_total,elapsed_parse_s
cpu2026,731.astcenc_r,astcenc,maapO1,1,1,0,0,0,0,0,refrate,,,control|gen_astcenc_inputs.sh|ref-inputs-hdr.txt|ref-inputs-linear.txt|ref-inputs-precision.txt,3360,48,512,16384,16,lru,pentium_m,,constant,2.2,090ac23cf7ee,sunnycove,1,52025746416,1718590544,1167803641,550786903,0,1718590544,0,13423381276646895,13423383309186723,2032539828,2032.539828,574553.8783115053,270984.5560772942,0.0,291915,18682560,2032539,1001,69,312.0
cpu2026,736.ocio_r,ocio,maapO1,1,1,0,0,0,0,0,refrate,,,control,721,48,512,16384,16,lru,pentium_m,,constant,2.2,090ac23cf7ee,sunnycove,1,57812790672,1992479291,1277713281,714766010,0,1992479291,0,13423383675516379,13423386056523878,2381007499,2381.007499,536627.1553267377,300194.7748170448,0.0,2178980,139454720,2381007,1001,157,347.0
cpu2026,737.gmsh_r,gmsh,maapO1,1,1,0,0,0,0,0,refrate,,,README.txt|TieAnchor520.geo|Torus.geo|Torus_dense.geo|choi.geo|control|gasdis.geo|geom8du.geo|gmsh.opts|mediterranean.geo,1699539,48,512,16384,16,lru,pentium_m,,constant,2.2,090ac23cf7ee,sunnycove,1,68898461022,2287499362,1466755286,820744076,0,2287499362,0,13423386424157120,13423389111169893,2687012773,2687.012773,545868.3712777423,305448.5204711753,0.0,98043,6274752,2687012,1001,35,413.0
cpu2026,748.flightdm_r,flightdm,maapO1,1,1,0,0,0,0,0,refrate,,,control,318,48,512,16384,16,lru,pentium_m,,constant,2.2,090ac23cf7ee,sunnycove,1,66881536207,2258253259,1467361432,790891827,0,2258253259,0,13423389476375469,13423392165093856,2688718387,2688.718387,545747.5349946346,294151.9762069452,0.0,56129,3592256,2688718,1001,31,401.0
cpu2026,749.fotonik3d_r,fotonik3d,maapO1,1,1,0,0,0,0,0,refrate,,,OBJ-epsilon.asc|OBJ-values.dat|OBJ-values.dat.xz|PSI.dat|TEwaveguide.m|incident_W3PC.def|power1.dat|power2.dat|trans_W3PC.def|yee.dat,20685910,48,512,16384,16,lru,pentium_m,,constant,2.2,090ac23cf7ee,sunnycove,1,75696689377,2625727560,2125892978,499834582,0,2625727560,0,13423392530722365,13423395858885881,3328163516,3328.163516,638758.5729426643,150183.30066929318,0.0,28111656,1799145984,3328163,1001,1772,454.0
cpu2026,765.roms_r,roms,maapO1,1,1,0,0,0,0,0,refrate,,,roms_benchmark2.in.x|varinfo.yaml,459072,48,512,16384,16,lru,pentium_m,,constant,2.2,090ac23cf7ee,sunnycove,1,56865161104,1933557890,1709578412,223979478,0,1933557890,0,13423396230225983,13423398565317440,2335091457,2335.091457,732124.8197260653,95918.93170974845,0.0,18787581,1202405184,2335091,1001,1193,341.0
cpu2026,766.femflow_r,femflow,maapO1,1,1,0,0,0,0,0,refrate,,,refrate.prm,473,48,512,16384,16,lru,pentium_m,,constant,2.2,090ac23cf7ee,sunnycove,1,80985867990,2623991315,1397373692,1226617623,0,2623991315,0,13423398946362217,13423402110881434,3164519217,3164.519217,441575.3535302358,387615.79212745227,0.0,567366,36311424,3164519,1001,109,486.0
cpu2026,767.nest_r,nest,maapO1,1,1,0,0,0,0,0,refrate,,,ArtificialSynchrony.sli|FormattedIO|FormattedIO.sli|arraylib|arraylib.sli|control|cuba_stdp.sli|debug|debug.sli|helpinit,1051499,48,512,16384,16,lru,pentium_m,,constant,2.2,090ac23cf7ee,sunnycove,1,44140509,1465998,1049682,416316,0,1465998,0,13423402478347177,13423402480794704,2447527,2.447527,428874.5333555054,170096.5913757029,0.0,17351,1110464,2447,1001,16,0.001
cpu2026,772.marian_r,marian,maapO1,1,1,0,0,0,0,0,refrate,,,EuroPat-spec.en|TildeMODEL-spec.en|control|model.alphas.npz|vocab.spm,89277765,48,512,16384,16,lru,pentium_m,,constant,2.2,090ac23cf7ee,sunnycove,1,52269029181,1692986877,907632446,785354431,0,1692986877,0,13423402846022787,13423404972552590,2126529803,2126.529803,426813.8846300477,369312.6848690585,0.0,10453532,669026048,2126529,1001,686,314.0
cpu2026,782.lbm_r,lbm,maapO1,1,1,0,0,0,0,0,refrate,,,200_200_130_ldc.of|lbm.in,5226171,48,512,16384,16,lru,pentium_m,,constant,2.2,090ac23cf7ee,sunnycove,1,58151380955,1918030745,1178626606,739404139,0,1918030745,0,13423405441507654,13423407929024210,2487516556,2487.516556,473816.58753470425,297245.916702152,0.0,26885006,1720640384,2487516,1001,1649,350.0
